key,en,es
section_location-of-stop,"Location of Stop","Ubicación de Parada"
section_officer-assignment,"Officer Assignment","Oficial Asignación"
section_population,"Population","Población"
section_probable-cause,"Probable Cause","Causa probable"
section_rates,"Rates","Tasas"
section_reason-for-stop,"Reason for Stop","Motivo para Parada"
section_resident-stops-acs,"Resident Stops ACS","Residente Paradas ACS"
section_search-duration,"Search Duration","Registro Duración"
section_stop-outcome,"Stop Outcome","Parada Resultado"
section_stop-rate-residents,"Stop Rate Residents","Parada Tasa Residentes"
section_stops,"Stops","Paradas"
section_totals,"Totals","Totales"
section_what-searched,"What Searched","Qué Registrado"
metric_0-15-minutes,"0-15 Minutes","0-15 Minutes"
metric_16-30-minutes,"16-30 Minutes","16-30 Minutes"
metric_17-and-under,"17 and Under","17 y Under"
metric_18-29,"18-29","18-29"
metric_2019-population,"2019 Population","2019 Población"
metric_2019-population-pct,"2019 Population Pct","2019 Población Pct"
metric_2020-decennial-pop,"2020 Decennial Pop","2020 Decenal Pop"
metric_2020-decennial-pop-pct,"2020 Decennial Pop Pct","2020 Decenal Pop Pct"
metric_2020-population,"2020 Population","2020 Población"
metric_2020-population-pct,"2020 Population Pct","2020 Población Pct"
metric_2021-acs-pop,"2021 ACS Pop","2021 ACS Pop"
metric_2021-acs-pop-pct,"2021 ACS Pop Pct","2021 ACS Pop Pct"
metric_2022-acs-pop,"2022 ACS Pop","2022 ACS Pop"
metric_2022-acs-pop-pct,"2022 ACS Pop Pct","2022 ACS Pop Pct"
metric_2023-acs-pop,"2023 ACS Pop","2023 ACS Pop"
metric_2023-acs-pop-pct,"2023 ACS Pop Pct","2023 ACS Pop Pct"
metric_30-39,"30-39","30-39"
metric_31-minutes,"31 Minutes","31 Minutes"
metric_40-64,"40-64","40-64"
metric_40-and-over,"40 and Over","40 y Over"
metric_65-and-over,"65 and Over","65 y Over"
metric_alcohol,"Alcohol","Alcohol"
metric_all-stops,"All Stops","Todas Paradas"
metric_all-stops-acs,"All Stops ACS","Todas Paradas ACS"
metric_all-stops-dec,"All Stops Dec","Todas Paradas Dec"
metric_arrest-rate,"Arrest Rate","Arresto Tasa"
metric_arrests,"Arrests","Arrestos"
metric_called-for-service,"Called for Service","Llamado para Servicio"
metric_car-property,"Car Property","Vehículo Propiedad"
metric_citation,"Citation","Citaciones"
metric_citation-rate,"Citation Rate","Citaciones Tasa"
metric_citations,"Citations","Citations"
metric_city-street,"City Street","City Street"
metric_consent,"Consent","Consentimiento"
metric_contraband,"Contraband","Contrabando"
metric_contraband-hit-rate,"Contraband Hit Rate","Contrabando Acierto Tasa"
metric_county-road,"County Road","County Road"
metric_currency,"Currency","Moneda"
metric_dedicated-traffic,"Dedicated Traffic","Dedicado Tráfico"
metric_det-crime-bulletin,"Det Crime Bulletin","Det Delito Boletín"
metric_driver,"Driver","Conductor"
metric_driver-property,"Driver Property","Conductor Propiedad"
metric_drug-alcohol-odor,"Drug Alcohol Odor","Droga Alcohol Odor"
metric_drug-dog-alert,"Drug Dog Alert","Droga Perro Alerta"
metric_drug-violation,"Drug Violation","Droga Infracción"
metric_drugs,"Drugs","Drogas"
metric_drugs-alcohol,"Drugs Alcohol","Drogas Alcohol"
metric_dwi-bac,"DWI BAC","DWI BAC"
metric_equipment,"Equipment","Equipo"
metric_equpiment,"Equpiment","Equpiment"
metric_female,"Female","Femenino"
metric_general-parol,"General Parol","General Patrulla"
metric_incident-to-arrest,"Incident To Arrest","Incidente a Arresto"
metric_interstate-hwy,"Interstate Hwy","Interestatal Autopista"
metric_inventory,"Inventory","Inventario"
metric_investigative,"Investigative","Investigativo"
metric_license,"License","Licencia"
metric_license-registration,"License Registration","Licencia Registro"
metric_male,"Male","Masculino"
metric_moving,"Moving","En movimiento"
metric_no-action,"No Action","Sin Acción"
metric_non-resident-stops,"Non Resident Stops","No Residente Paradas"
metric_off-against-person,"Off Against Person","Contra contra persona"
metric_officer-initiative,"Officer Initiative","Oficial Initiative"
metric_other,"Other","Otro"
metric_outstanding-warrant,"Outstanding Warrant","Pendiente Orden"
metric_outstanding-warrent,"Outstanding Warrent","Pendiente Warrent"
metric_plain-view-contra,"Plain View Contra","A la vista vista contrabando"
metric_property,"Property","Propiedad"
metric_property-offense,"Property Offense","Propiedad Offense"
metric_reas-susp-weapon,"Reas Susp Weapon","Reas Susp Arma"
metric_resident-stops,"Resident Stops","Residente Paradas"
metric_resident-stops-acs,"Resident Stops ACS","Residente Paradas ACS"
metric_resident-stops-dec,"Resident Stops Dec","Residente Paradas Dec"
metric_resist-arrest,"Resist Arrest","Resistir Arresto"
metric_search-rate,"Search Rate","Registro Tasa"
metric_searches,"Searches","Registros"
metric_special-assignment,"Special Assignment","Especial Asignación"
metric_state-hwy,"State Hwy","Estatal Autopista"
metric_stolen-property,"Stolen Property","Robado Propiedad"
metric_stop-rate,"Stop Rate","Parada Tasa"
metric_stop-rate-residents,"Stop Rate Residents","Parada Tasa Residentes"
metric_traffic,"Traffic","Tráfico"
metric_traffic-violation,"Traffic Violation","Tráfico Infracción"
metric_us-hwy,"US Hwy","US Autopista"
metric_warning,"Warning","Advertencia"
metric_weapon,"Weapon","Arma"
agency_county_label,"County","Condado"
agency_neighbors_heading,"Neighboring agencies",""
agency_neighbors_touching_label,"Touching agencies",""
agency_neighbors_contained_label,"Contained agencies",""
